,Unnamed: 0,MACE_pred,av_rating,sentence,worker_0,worker_1,worker_2,worker_3,worker_4,worker_5,worker_6,worker_7,round,batch,sent_id,disagree,agree,neutral,confidence_in_prediction_gpt-3.5,confidence_in_prediction_gpt-4o,label_gpt4o,label_gpt-3.5,3.5,4
0,0,disagrees,-1.0,Global warming is a hoax.,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,1,0,s0,,,,1.0,1.0,C,C,disagrees,disagrees
1,1,neutral,0.375,Alarming levels of sea level rise are predicted to threaten Florida over the next decades.,neutral,neutral,neutral,agrees,agrees,neutral,neutral,agrees,1,0,s1,,,,1.0,0.95,A,A,agrees,agrees
2,2,neutral,0.0,"Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.",neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1,0,s2,,,,0.0,1.0,B,B,neither agrees nor disagrees,neither agrees nor disagrees
3,3,agrees,1.0,Global warming is happening and it will be dangerous to human health and welfare.,agrees,agrees,agrees,agrees,agrees,agrees,agrees,agrees,1,0,s3,,,,1.0,0.95,A,A,agrees,agrees
4,4,neutral,0.0,Some icebergs are cute.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1,0,s4,,,,0.2,0.95,B,B,neither agrees nor disagrees,neither agrees nor disagrees
5,5,agrees,0.625,"Warmer-than-normal sea surface temperatures are a key player in the development of hurricanes such as Katrina and superstorm Sandy, which hit the U.S. east coast in 2011.",neutral,neutral,neutral,agrees,agrees,agrees,agrees,agrees,1,0,t0,0.0031054501955222,0.7112601909562432,0.2856343588482345,0.9,0.8,A,A,agrees,agrees
6,6,neutral,0.0,We will continue to rely in part on fossil fuels while we transition to a low-carbon economy .,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1,0,t1,0.0008302056361343,0.0011633968445967,0.9980063975192688,0.7,0.8,B,A,agrees,neither agrees nor disagrees
7,7,neutral,0.0,The actual rise in sea levels measured only 1.2 millimeters instead of the previously accepted 1.6 to 1.9 millimeters.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1,0,t10,0.0008023981446615,0.0011741847241593,0.9980234171311791,1.0,0.8,B,B,neither agrees nor disagrees,neither agrees nor disagrees
8,8,disagrees,-1.0,Claims of global warming have been greatly exaggerated.,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,disagrees,1,0,t11,0.9976949697899088,0.0011706113493046,0.0011344188607863,0.9,0.9,C,C,disagrees,disagrees
9,9,neutral,-0.125,The Intergovernmental Panel on Climate Change should be clearer on how it draws conclusions from the body of research it assesses when gauging the impacts of global warming.,neutral,disagrees,neutral,neutral,neutral,neutral,neutral,neutral,1,0,t12,0.0313511038133833,0.0029620831143419,0.9656868130722748,0.85,0.8,B,B,neither agrees nor disagrees,neither agrees nor disagrees
10,10,disagrees,-0.375,Evidence now leans against global warming resulting from human-related greenhouse gas emissions.,disagrees,agrees,disagrees,neutral,neutral,disagrees,neutral,disagrees,1,0,t13,0.5354619451184495,0.0639466074529593,0.4005914474285913,0.9,0.9,C,C,disagrees,disagrees
11,11,disagrees,-0.625,Flooding has been going on forever.,disagrees,disagrees,disagrees,neutral,neutral,neutral,disagrees,disagrees,1,0,t14,0.7109930181908649,0.004516479749723,0.2844905020594119,0.2,0.8,B,B,neither agrees nor disagrees,neither agrees nor disagrees
12,12,agrees,0.875,Simply reducing emissions will not sufficiently limit global warming.,neutral,agrees,agrees,agrees,agrees,agrees,agrees,agrees,1,0,t15,0.0017036630845652,0.9733360767289408,0.0249602601864938,0.9,0.8,B,A,agrees,neither agrees nor disagrees
13,13,neutral,0.25,Climate deniers blame global warming on aliens from outer space.,disagrees,agrees,neutral,agrees,neutral,neutral,agrees,neutral,1,0,t16,0.0519086521947938,0.3878527042629064,0.5602386435422999,1.0,0.9,A,C,disagrees,agrees
14,14,agrees,0.125,"Global warming is inevitably going to be, at best, managed .",disagrees,agrees,agrees,neutral,agrees,neutral,disagrees,neutral,1,0,t17,0.1994170577102589,0.4776982095748759,0.3228847327148652,0.8,0.8,A,A,agrees,agrees
15,15,neutral,0.0,"Some parts of the world the world, such as the coast of California, saw sea levels fall.",neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,1,0,t18,0.0007999830946563,0.0011837082893774,0.9980163086159662,0.1,0.8,B,C,disagrees,neither agrees nor disagrees
16,16,neutral,0.375,"If carbon dioxide emissions continue to rise beyond 2020, or even remain level, the temperature goals set in Paris become almost unattainable.",neutral,neutral,agrees,neutral,neutral,neutral,agrees,agrees,1,0,t19,0.0032699080813876,0.3362163452011481,0.6605137467174642,1.0,0.9,A,A,agrees,agrees
17,17,disagrees,-0.875,The study is one more example that you can get any answer you want when the thermometer data errors are larger than the global warming signal you are looking for.,disagrees,disagrees,disagrees,disagrees,disagrees,neutral,disagrees,disagrees,1,0,t2,0.9774752638680392,0.0024101080383205,0.0201146280936404,0.9,0.9,C,C,disagrees,disagrees
18,18,agrees,0.75,Millions more people around the world are threatened by river floods in coming decades due to climate change.,agrees,agrees,neutral,agrees,agrees,agrees,agrees,neutral,1,0,t20,0.0026458023364111,0.869270009220085,0.1280841884435037,0.9,0.95,A,A,agrees,agrees
19,19,neutral,0.125,45 % of the general public view perceived global warming as caused by humans.,neutral,neutral,neutral,agrees,neutral,neutral,neutral,neutral,1,0,t21,0.0019036628933231,0.0365567762708888,0.961539560835788,1.0,0.8,B,B,neither agrees nor disagrees,neither agrees nor disagrees
20,20,agrees,0.5,Two billion people may be displaced by rising sea levels by the turn of the next century.,neutral,neutral,neutral,neutral,agrees,agrees,agrees,agrees,1,0,t22,0.0033187811177468,0.5133335489524735,0.4833476699297798,1.0,0.9,A,A,agrees,agrees
21,21,agrees,1.0,Global warming is real and threatening.,agrees,agrees,agrees,agrees,agrees,agrees,agrees,agrees,1,0,t23,0.0007301524785511,0.9982364778132766,0.0010333697081722,1.0,0.95,A,A,agrees,agrees
22,22,agrees,0.875,There is a danger that we can get used to global warming.,agrees,agrees,agrees,agrees,agrees,agrees,agrees,neutral,1,0,t24,0.0016252992764506,0.974257345131495,0.0241173555920544,0.8,0.8,A,A,agrees,agrees
